,Key,Value,id
2765767,pre_8_end_8,1.54929,9974
2765768,pre_9_end_9,1.415,9974
2765769,average_path_length,5.71429,9974
2765770,redundancy,10.0,9974
2765771,traversal_steps,28.0,9974
2765772,tree_skewness,-10.0,9974
2765773,skewness,0.0,9974
2765774,density,0.00683761,9974
2765775,symbol_entropy,1.92722,9974
2765776,layer_average_derivation_entropy,0.0,9974
2765777,path_average_derivation_entropy,1.28633,9974
2765778,layer_average_symbol_entropy,0.0,9974
2765779,path_average_symbol_entropy,1.26121,9974
2765780,average_layer_symbol_skewness,0.150541,9974
2765781,average_layer_derivation_skewness,1.06066,9974
2765782,average_layer_symbol_KL_divergence,0.0409561,9974
2765783,average_layer_derivation_KL_divergence,0.0123895,9974
2802309,derivation_entropy,1.88522,10123
2802310,word_entropy,1.93381,10123
2802311,word_delay_1_mutual_entropy,1.61147,10123
2802312,word_delay_2_mutual_entropy,1.48446,10123
2802313,word_delay_3_mutual_entropy,1.35798,10123
2802314,word_delay_4_mutual_entropy,1.21609,10123
2802315,word_delay_5_mutual_entropy,1.22753,10123
2802316,derivation_delay_1_mutual_entropy,1.0989,10123
2802317,derivation_delay_2_mutual_entropy,1.39298,10123
2802318,derivation_delay_3_mutual_entropy,0.935032,10123
2802319,derivation_delay_4_mutual_entropy,1.25342,10123
2802320,derivation_delay_5_mutual_entropy,0.834631,10123
2802321,word_delay_1_transitional_entropy,2.2056,10123
2802322,word_delay_2_transitional_entropy,2.24504,10123
2802323,word_delay_3_transitional_entropy,2.09473,10123
2802324,word_delay_4_transitional_entropy,2.09827,10123
2802325,word_delay_5_transitional_entropy,2.16396,10123
2802326,derivation_delay_1_transitional_entropy,2.62263,10123
2802327,derivation_delay_2_transitional_entropy,2.27667,10123
2802328,derivation_delay_3_transitional_entropy,2.73937,10123
2802329,derivation_delay_4_transitional_entropy,2.45404,10123
2802330,derivation_delay_5_transitional_entropy,2.81381,10123
2802331,word_delay_1_transfer_entropy,0.173026,10123
2802332,word_delay_2_transfer_entropy,0.231049,10123
2802333,word_delay_3_transfer_entropy,0.0784587,10123
2802334,word_delay_4_transfer_entropy,-2.22045e-16,10123
2802335,word_delay_5_transfer_entropy,0.212171,10123
2802336,derivation_delay_1_transfer_entropy,0.642088,10123
2802337,derivation_delay_2_transfer_entropy,0.182978,10123
2802338,derivation_delay_3_transfer_entropy,0.592613,10123
2802339,derivation_delay_4_transfer_entropy,0.234134,10123
2802340,derivation_delay_5_transfer_entropy,0.602866,10123
2802341,depth_of_tree,17.0,10123
2802342,1_layer_symbol_tree__entropy,1.90899,10123
2802343,2_layer_symbol_tree__entropy,1.71441,10123
2802344,3_layer_symbol_tree__entropy,1.78188,10123
2802345,4_layer_symbol_tree__entropy,1.7696,10123
2802346,5_layer_symbol_tree__entropy,1.75798,10123
2802347,1_layer_derivation_tree__entropy,0.67176,10123
2802348,2_layer_derivation_tree__entropy,0.647803,10123
2802349,3_layer_derivation_tree__entropy,0.655102,10123
2802350,4_layer_derivation_tree__entropy,0.647249,10123
2802351,5_layer_derivation_tree__entropy,0.653568,10123
2802352,pre_2_end_14,2.23525,10123
2802353,pre_2_end_13,1.415,10123
2802354,pre_2_end_12,0.728057,10123
2802355,pre_2_end_11,0.971808,10123
2802356,pre_2_end_10,2.26126,10123
2802357,pre_2_end_9,1.44882,10123
2802358,pre_2_end_8,0.971808,10123
2802359,pre_2_end_7,2.26126,10123
2802360,pre_2_end_6,1.44882,10123
2802361,pre_2_end_5,0.971808,10123
2802362,pre_2_end_4,2.26126,10123
2802363,pre_2_end_3,2.00879,10123
2802364,pre_2_end_2,1.54929,10123
2802365,pre_3_end_14,2.23525,10123
